id,razao_social,cnpj_8,municipio,codigo_ibge,natureza_juridica,latitude,longitude,distancia_km,raio_flag,is_target_200km,match_status,match_detail
876,ELETRIFICACAO RURAL DE SANTA CATARINA S A,83.899.997,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
877,CAIXA ECONOMICA DO ESTADO DE SANTA CATARINA S A,83.900.159,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
878,COMPANHIA DE GAS DE SANTA CATARINA,86.864.543,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
879,BESC S/A ARRENDAMENTO MERCANTIL,00.510.570,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
880,CODEJAS - COMPANHIA DE DESENVOLVIMENTO DE JARAGUA DO SUL S.A,00.513.208,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
881,SANTA CATARINA PARTICIPACAO E INVESTIMENTOS SA INVESC,00.897.864,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
882,COMPANHIA URBANIZADORA DE ICARA - URBI,05.848.142,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
883,INVEST SANTA CATARINA PARCERIAS E NEGOCIOS ESTRATEGICOS S.A.,07.293.552,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
884,CELESC DISTRIBUICAO S.A,08.336.783,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
885,CELESC GERACAO S.A,08.336.804,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
886,SC PARCERIAS - AMBIENTAL S.A.,11.332.700,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
887,COMPANHIA CATARINENSE DE SAUDE - CCS,26.634.715,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
888,SCPAR PORTO DE SAO FRANCISCO DO SUL S.A.,29.307.982,SANTA CATARINA,42,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
889,BANCO DO BRASIL SA,00.000.000,SANTA CATARINA,0890,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
890,FUNDACAO NACIONAL DOS POVOS INDIGENAS - FUNAI,00.059.311,SANTA CATARINA,8081,Fundação Pública de Direito Público Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
891,ELETROSUL CENTRAIS ELETRICAS S/A,00.073.957,SANTA CATARINA,5545,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
892,IAZPE-IMBITUBA ADM DA ZONA DE PROCES DE EXPORTACAO SA,00.124.055,SANTA CATARINA,8105,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
893,ESCOLA AGROTECNICA FEDERAL DE RIO DO SUL,00.147.606,SANTA CATARINA,8291,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
894,TELECOMUNICACOES BRASILEIRAS SA TELEBRAS,00.336.701,SANTA CATARINA,8179,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
895,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,00.348.003,SANTA CATARINA,8073,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
896,EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - INFRAERO,00.352.294,SANTA CATARINA,0973,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
897,CAIXA ECONOMICA FEDERAL,00.360.305,SANTA CATARINA,0973,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
898,INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA,00.375.972,SANTA CATARINA,8081,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
899,DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL,00.381.056,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
900,COMANDO DA AERONAUTICA,00.394.429,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
901,MINISTERIO DAS COMUNICACOES,00.394.437,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
902,MINISTERIO DA EDUCACAO,00.394.445,SANTA CATARINA,8083,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
903,COMANDO DO EXERCITO,00.394.452,SANTA CATARINA,8047,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
904,MINISTERIO DA FAZENDA,00.394.460,SANTA CATARINA,8047,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
905,"MINISTERIO DO DESENVOLVIMENTO, INDUSTRIA, COMERCIO E SERVICOS",00.394.478,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
906,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,00.394.494,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
907,COMANDO DA MARINHA,00.394.502,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
908,MINISTERIO DA SAUDE,00.394.544,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
909,MINISTERIO DA AGRICULTURA E PECUARIA,00.396.895,SANTA CATARINA,8327,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
910,TRIBUNAL DE CONTAS DA UNIAO,00.414.607,SANTA CATARINA,8105,Órgão Público do Poder Legislativo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
911,INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL,00.444.232,SANTA CATARINA,8089,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
912,EMPRESA BRASILEIRA DE TRANSPORTES URBANOS EM LIQUIDACAO,00.446.583,SANTA CATARINA,8105,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
913,RADIOBRAS EMPRESA BRASILEIRA DE COMUNICACAO S/A,00.464.073,SANTA CATARINA,8105,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
914,MINISTERIO DA GESTAO E DA INOVACAO EM SERVICOS PUBLICOS,00.489.828,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
915,CONSELHO DA JUSTICA FEDERAL,00.508.903,SANTA CATARINA,8105,Órgão Público do Poder Judiciário Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
916,TRIBUNAL SUPERIOR ELEITORAL,00.509.018,SANTA CATARINA,8105,Órgão Público do Poder Judiciário Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
917,TRIBUNAL SUPERIOR DO TRABALHO,00.509.968,SANTA CATARINA,8105,Órgão Público do Poder Judiciário Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
918,EMPRESA BRASILEIRA DE NOTICIAS,00.608.364,SANTA CATARINA,8105,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
919,FUNDACAO HABITACIONAL DO EXERCITO - FHE,00.643.742,SANTA CATARINA,8105,Fundação Pública de Direito Privado Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
920,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA - INMETRO.",00.662.270,SANTA CATARINA,8327,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
921,AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR,01.175.497,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
922,CONSELHO MUNICIPAL DE TRABALHO E EMPREGO,01.235.403,SANTA CATARINA,5551,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
923,COMPANHIA NACIONAL DE ABASTECIMENTO CONAB,01.263.421,SANTA CATARINA,8327,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
924,AGENCIA NACIONAL DE TELECOMUNICACOES,02.030.715,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
925,CONSORCIO INTERMUNICIPAL DE SAUDE DO ALTO VALE DO RIO DO PEIXE - CIS AMARP,02.222.769,SANTA CATARINA,8379,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
926,DELEGACIA DA RECEITA FEDERAL EM BLUMENAU,02.436.761,SANTA CATARINA,8047,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
927,DELEGACIA DA RECEITA FEDERAL EM LAGES,02.436.808,SANTA CATARINA,8183,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
928,TRIBUNAL REGIONAL DO TRABALHO DA 12A REGIAO,02.482.005,SANTA CATARINA,8105,Órgão Público do Poder Judiciário Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
929,INSPETORIA DA RECEITA FEDERAL EM FLORIANOPOLIS,02.755.699,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
930,COMPANHIA DE DESENVOLVIMENTO DE ITAPOA S. A.,02.939.316,SANTA CATARINA,8105,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
931,SERVICO NACIONAL DE APRENDIZAGEM DO COOPERATIVISMO,03.087.543,SANTA CATARINA,8105,Serviço Social Autônomo,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
932,CONSELHO MUNICIPAL DE DESENVOLVIMENTO RURAL DE RODEIO,03.103.849,SANTA CATARINA,8297,Órgão Público Autônomo Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
933,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,03.112.386,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
934,FUNDACAO ESCOLA AGROTECNICA FEDERAL DE CONCORDIA,03.195.850,SANTA CATARINA,8083,Fundação Pública de Direito Público Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
935,FUNDACAO BELVEDERE DE PESQUISA E ESTUDOS CIENTIFICOS,03.300.478,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
936,SERVICO SOCIAL DO COMERCIO - SESC AR/SC,03.603.595,SANTA CATARINA,0973,Serviço Social Autônomo,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
937,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,03.603.739,SANTA CATARINA,8027,Serviço Social Autônomo,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
938,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVAVEIS-IBAMA,03.659.166,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
939,CONSELHO REGIONAL DE EDUCACAO FISICA - CREF3/SC,03.678.523,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
940,CONSELHO REGIONAL DE ECONOMIA 7 REGIAO/SC,03.705.930,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
941,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL,03.774.688,SANTA CATARINA,0926,Serviço Social Autônomo,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
942,SERVICO SOCIAL DA INDUSTRIA,03.777.341,SANTA CATARINA,0973,Serviço Social Autônomo,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
943,DME ENERGETICA S.A. - DMEE,03.966.583,SANTA CATARINA,9941,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
944,CONSELHO REGIONAL DE BIOLOGIA 3 REGIAO,04.053.157,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
945,SERVICO NACIONAL DE APRENDIZAGEM RURAL SENAR AR/SC,04.260.738,SANTA CATARINA,8105,Serviço Social Autônomo,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
946,CONSORCIO INTERMUNICIPAL BACIA HIDROGRAFICA DO RIO CANOINHAS,04.427.341,SANTA CATARINA,8203,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
947,CONSORCIO INTERMUNICIPAL DE PROCESSAMENTO DE LIXO URBANO CIPLU,04.703.600,SANTA CATARINA,8367,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
948,M. V. MEURER ADVOGADOS ASSOCIADOS S/C,04.727.310,SANTA CATARINA,8367,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
949,ALFANDEGA DA RECEITA FEDERAL NO PORTO DE SAO FRANCISCO DO SUL -SC,04.745.037,SANTA CATARINA,8319,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
950,CONSORCIO INTERMUNICIPAL DE PROCESSAMENTO DE LIXO - CIPLI,04.823.715,SANTA CATARINA,8053,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
951,DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES,04.892.707,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
952,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT,04.898.488,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
953,AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS,04.903.587,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
954,CONSORCIO INTERMUNICIPAL DAS NASCENTES,04.941.492,SANTA CATARINA,8371,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
955,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO SUSTENTAVEL DA REGIAO DO ALTO VALE DO ITAJAI,05.096.723,SANTA CATARINA,8167,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
956,JUSTICA FEDERAL DE PRIMEIRO GRAU EM SANTA CATARINA,05.427.319,SANTA CATARINA,8105,Órgão Público do Poder Judiciário Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
957,EMPRESA PUBLICA DE TRANSITO E TRANSPORTE DE CRICIUMA SA - EPTC,05.455.291,SANTA CATARINA,8089,Empresa Pública,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
958,MINISTERIO DA PESCA E AQUICULTURA,05.482.692,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
959,PROCURADORIA-GERAL FEDERAL,05.489.410,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
960,CONSORCIO INTERMUNICIPAL RIO DO PEIXE - CIRP,05.669.183,SANTA CATARINA,8177,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
961,CARTORIO DA VARA UNICA DA COMARCA DE CORREIA PINTO,05.693.430,SANTA CATARINA,8395,Órgão Público do Poder Judiciário Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
962,TRIBUNAL REGIONAL ELEITORAL DE SANTA CATARINA,05.858.851,SANTA CATARINA,8105,Órgão Público do Poder Judiciário Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
963,CONSORCIO INTERMUNICIPAL DAS AGUAS,06.034.099,SANTA CATARINA,5567,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
964,CONSORCIO INTERMUNICIPAL SALTO PILAO,06.223.087,SANTA CATARINA,8135,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
965,CONSELHO REG DE FISIOTERAPIA E TERAPIA OCUPACIONAL DA 10 REGIAO,06.250.863,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
966,SERVICO NACIONAL DE APRENDIZAGEM DO COOPERATIVISMO NO ESTADO DE SANTA CATARINA,07.020.327,SANTA CATARINA,8105,Serviço Social Autônomo,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
967,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO,07.475.388,SANTA CATARINA,8069,Consórcio Público de Direito Público (Associação Pública),-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
968,1 BATALHAO FERROVIARIO,07.517.504,SANTA CATARINA,8183,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
969,FUNDO DE AMPARO AO TRABALHADOR,07.526.983,SANTA CATARINA,8105,Fundo Público da Administração Direta Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
970,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,08.829.974,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
971,14 REGIMENTO DE CAVALARIA MECANIZADO,09.543.440,SANTA CATARINA,8339,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
972,62 BATALHAO DE INFANTARIA,09.560.096,SANTA CATARINA,8179,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
973,COMANDO 14A BRIGADA DE INFANTARIA MOTORIZADA,09.571.694,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
974,28 GRUPO DE ARTILHARIA DE CAMPANHA,09.579.771,SANTA CATARINA,8089,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
975,5 BATALHAO DE ENGENHARIA DE COMBATE BLINDADO,09.586.718,SANTA CATARINA,8267,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
976,63 BATALHAO DE INFANTARIA,09.586.988,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
977,HOSPITAL DE GUARNICAO DE FLORIANOPOLIS,09.587.107,SANTA CATARINA,8105,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
978,14 COMPANHIA DE ENGENHARIA DE COMBATE,09.597.930,SANTA CATARINA,8367,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
979,23 BATALHAO DE INFANTARIA,09.634.813,SANTA CATARINA,8047,Órgão Público do Poder Executivo Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
980,CONSELHO REGIONAL DE NUTRICAO DA DECIMA REGIAO (CRN-10),10.456.659,SANTA CATARINA,8105,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
981,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA CATARINENSE,10.635.424,SANTA CATARINA,0926,Autarquia Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
982,THERMAS CASTELLO S/A,10.681.899,SANTA CATARINA,8273,Sociedade de Economia Mista,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
